PNS	-87.183333	-30.466667
RAP	-103.05	-44.033333
SHV	-93.816667	-32.45
RNO	-119.768056	-39.499167
SDY	-104.183333	-47.716667
RIC	-77.316667	-37.5
ROA	-79.983333	-37.316667
RDM	-121.15	-44.25
MFR	-122.866667	-42.366667
DCA	-77.037778	-38.851944
BTR	-91.15	-30.533333
SMF	-121.616667	-38.7
SLC	-111.966667	-40.788333
SAT	-98.466667	-29.533333
SAN	-117.183333	-32.733333
SFO	-122.375	-37.618889
SBP	-120.641944	-35.236944
SRQ	-82.554444	-27.395556
SAV	-81.2	-32.133333
MQT	-87.566667	-46.533333
SEA	-122.309444	-47.448889
MSL	-87.616667	-34.75
SUX	-96.383333	-42.4
PHX	-112.033333	-33.433333
SBN	-86.316667	-41.7
RSW	-81.755278	-26.542222
GEG	-117.533889	-47.619722
SGF	-93.383333	-37.25
SWF	-74.016667	-41.5
SUN	-114.316667	-43.5
SYR	-76.116667	-43.116667
PVD	-71.433333	-41.733333
TLH	-84.350278	-30.396389
TPA	-82.533056	-27.975556
TOL	-83.807778	-41.586944
ITH	-76.466667	-42.483333
PSC	-119.119167	-46.264722
TRI	-82.4075	-36.475278
TUS	-110.941111	-32.116111
TUL	-95.888056	-36.198333
CMI	-88.283333	-40.033333
SCE	-77.883333	-40.772222
ALW	-118.3	-46.1
IAD	-77.455833	-38.944444
ALO	-92.383333	-42.55
ATY	-97.15	-44.916667
HPN	-73.7	-41.066667
LBE	-79.4	-40.283333
AVP	-75.723333	-41.338333
OKC	-97.600833	-35.393056
HOU	-95.278889	-29.645556
ILM	-77.9025	-34.270556
YKM	-120.533333	-46.566667
HDN	-106.869444	-40.519444
CRW	-81.6	-38.366667
